"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","2018","Sewerage, waste management and remediation activities (37 to 39)","Net Operating Surplus and Net Mixed Income","Euro Million","221"
"Gross Value Added (GVA) at Current Market Prices","2018","Sewerage, waste management and remediation activities (37 to 39)","Consumption of Fixed Capital","Euro Million","139"
"Gross Value Added (GVA) at Current Market Prices","2018","Sewerage, waste management and remediation activities (37 to 39)","Other Taxes less Other Subsidies on Production","Euro Million","244"
"Gross Value Added (GVA) at Current Market Prices","2018","Sewerage, waste management and remediation activities (37 to 39)","Gross Value Added (GVA) at Basic Prices","Euro Million","895"
"Gross Value Added (GVA) at Current Market Prices","2018","Construction (41 to 43)","Compensation of Employees","Euro Million","3961"
"Gross Value Added (GVA) at Current Market Prices","2018","Construction (41 to 43)","Net Operating Surplus and Net Mixed Income","Euro Million","3752"
"Gross Value Added (GVA) at Current Market Prices","2018","Construction (41 to 43)","Consumption of Fixed Capital","Euro Million","323"
"Gross Value Added (GVA) at Current Market Prices","2018","Construction (41 to 43)","Other Taxes less Other Subsidies on Production","Euro Million","29"
"Gross Value Added (GVA) at Current Market Prices","2018","Construction (41 to 43)","Gross Value Added (GVA) at Basic Prices","Euro Million","8064"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor trades (45)","Compensation of Employees","Euro Million","974"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor trades (45)","Net Operating Surplus and Net Mixed Income","Euro Million","447"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor trades (45)","Consumption of Fixed Capital","Euro Million","162"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor trades (45)","Other Taxes less Other Subsidies on Production","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor trades (45)","Gross Value Added (GVA) at Basic Prices","Euro Million","1593"
"Gross Value Added (GVA) at Current Market Prices","2018","Wholesale trade (46)","Compensation of Employees","Euro Million","5114"
"Gross Value Added (GVA) at Current Market Prices","2018","Wholesale trade (46)","Net Operating Surplus and Net Mixed Income","Euro Million","6976"
"Gross Value Added (GVA) at Current Market Prices","2018","Wholesale trade (46)","Consumption of Fixed Capital","Euro Million","815"
"Gross Value Added (GVA) at Current Market Prices","2018","Wholesale trade (46)","Other Taxes less Other Subsidies on Production","Euro Million","71"
"Gross Value Added (GVA) at Current Market Prices","2018","Wholesale trade (46)","Gross Value Added (GVA) at Basic Prices","Euro Million","12976"
"Gross Value Added (GVA) at Current Market Prices","2018","Retail trade (47)","Compensation of Employees","Euro Million","5147"
"Gross Value Added (GVA) at Current Market Prices","2018","Retail trade (47)","Net Operating Surplus and Net Mixed Income","Euro Million","3312"
"Gross Value Added (GVA) at Current Market Prices","2018","Retail trade (47)","Consumption of Fixed Capital","Euro Million","516"
"Gross Value Added (GVA) at Current Market Prices","2018","Retail trade (47)","Other Taxes less Other Subsidies on Production","Euro Million","56"
"Gross Value Added (GVA) at Current Market Prices","2018","Retail trade (47)","Gross Value Added (GVA) at Basic Prices","Euro Million","9031"
"Gross Value Added (GVA) at Current Market Prices","2018","Land transport (49)","Compensation of Employees","Euro Million","1411"
"Gross Value Added (GVA) at Current Market Prices","2018","Land transport (49)","Net Operating Surplus and Net Mixed Income","Euro Million","463"
"Gross Value Added (GVA) at Current Market Prices","2018","Land transport (49)","Consumption of Fixed Capital","Euro Million","431"
"Gross Value Added (GVA) at Current Market Prices","2018","Land transport (49)","Other Taxes less Other Subsidies on Production","Euro Million","130"
"Gross Value Added (GVA) at Current Market Prices","2018","Land transport (49)","Gross Value Added (GVA) at Basic Prices","Euro Million","2435"
"Gross Value Added (GVA) at Current Market Prices","2018","Water transport (50)","Compensation of Employees","Euro Million","38"
"Gross Value Added (GVA) at Current Market Prices","2018","Water transport (50)","Net Operating Surplus and Net Mixed Income","Euro Million","-26"
"Gross Value Added (GVA) at Current Market Prices","2018","Water transport (50)","Consumption of Fixed Capital","Euro Million","59"
"Gross Value Added (GVA) at Current Market Prices","2018","Water transport (50)","Other Taxes less Other Subsidies on Production","Euro Million","-9"
"Gross Value Added (GVA) at Current Market Prices","2018","Water transport (50)","Gross Value Added (GVA) at Basic Prices","Euro Million","61"
"Gross Value Added (GVA) at Current Market Prices","2018","Air transport, Warehousing and support activities for transportation (51-52)","Compensation of Employees","Euro Million","1389"
"Gross Value Added (GVA) at Current Market Prices","2018","Air transport, Warehousing and support activities for transportation (51-52)","Net Operating Surplus and Net Mixed Income","Euro Million","-385"
"Gross Value Added (GVA) at Current Market Prices","2018","Air transport, Warehousing and support activities for transportation (51-52)","Consumption of Fixed Capital","Euro Million","1851"
"Gross Value Added (GVA) at Current Market Prices","2018","Air transport, Warehousing and support activities for transportation (51-52)","Other Taxes less Other Subsidies on Production","Euro Million","169"
"Gross Value Added (GVA) at Current Market Prices","2018","Air transport, Warehousing and support activities for transportation (51-52)","Gross Value Added (GVA) at Basic Prices","Euro Million","3025"
"Gross Value Added (GVA) at Current Market Prices","2018","Postal and courier activities (53)","Compensation of Employees","Euro Million","667"
"Gross Value Added (GVA) at Current Market Prices","2018","Postal and courier activities (53)","Net Operating Surplus and Net Mixed Income","Euro Million","76"
"Gross Value Added (GVA) at Current Market Prices","2018","Postal and courier activities (53)","Consumption of Fixed Capital","Euro Million","42"
"Gross Value Added (GVA) at Current Market Prices","2018","Postal and courier activities (53)","Other Taxes less Other Subsidies on Production","Euro Million","32"
"Gross Value Added (GVA) at Current Market Prices","2018","Postal and courier activities (53)","Gross Value Added (GVA) at Basic Prices","Euro Million","816"
"Gross Value Added (GVA) at Current Market Prices","2018","Accommodation and food service activities (55,56)","Compensation of Employees","Euro Million","3960"
"Gross Value Added (GVA) at Current Market Prices","2018","Accommodation and food service activities (55,56)","Net Operating Surplus and Net Mixed Income","Euro Million","689"
"Gross Value Added (GVA) at Current Market Prices","2018","Accommodation and food service activities (55,56)","Consumption of Fixed Capital","Euro Million","698"
"Gross Value Added (GVA) at Current Market Prices","2018","Accommodation and food service activities (55,56)","Other Taxes less Other Subsidies on Production","Euro Million","78"
"Gross Value Added (GVA) at Current Market Prices","2018","Accommodation and food service activities (55,56)","Gross Value Added (GVA) at Basic Prices","Euro Million","5425"
"Gross Value Added (GVA) at Current Market Prices","2018","Publishing, audiovisual and broadcasting services (58 to 60)","Compensation of Employees","Euro Million","1398"
"Gross Value Added (GVA) at Current Market Prices","2018","Publishing, audiovisual and broadcasting services (58 to 60)","Net Operating Surplus and Net Mixed Income","Euro Million","9108"
"Gross Value Added (GVA) at Current Market Prices","2018","Publishing, audiovisual and broadcasting services (58 to 60)","Consumption of Fixed Capital","Euro Million","7843"
"Gross Value Added (GVA) at Current Market Prices","2018","Publishing, audiovisual and broadcasting services (58 to 60)","Other Taxes less Other Subsidies on Production","Euro Million","31"
"Gross Value Added (GVA) at Current Market Prices","2018","Publishing, audiovisual and broadcasting services (58 to 60)","Gross Value Added (GVA) at Basic Prices","Euro Million","18379"
"Gross Value Added (GVA) at Current Market Prices","2018","Telecommunications (61)","Compensation of Employees","Euro Million","985"
"Gross Value Added (GVA) at Current Market Prices","2018","Telecommunications (61)","Net Operating Surplus and Net Mixed Income","Euro Million","1276"
"Gross Value Added (GVA) at Current Market Prices","2018","Telecommunications (61)","Consumption of Fixed Capital","Euro Million","865"
"Gross Value Added (GVA) at Current Market Prices","2018","Telecommunications (61)","Other Taxes less Other Subsidies on Production","Euro Million","40"
"Gross Value Added (GVA) at Current Market Prices","2018","Telecommunications (61)","Gross Value Added (GVA) at Basic Prices","Euro Million","3166"
"Gross Value Added (GVA) at Current Market Prices","2018","Computer programming, consultancy and Information service activities (62,63)","Compensation of Employees","Euro Million","5083"
"Gross Value Added (GVA) at Current Market Prices","2018","Computer programming, consultancy and Information service activities (62,63)","Net Operating Surplus and Net Mixed Income","Euro Million","10730"
"Gross Value Added (GVA) at Current Market Prices","2018","Computer programming, consultancy and Information service activities (62,63)","Consumption of Fixed Capital","Euro Million","2115"
"Gross Value Added (GVA) at Current Market Prices","2018","Computer programming, consultancy and Information service activities (62,63)","Other Taxes less Other Subsidies on Production","Euro Million","83"
