DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FR,2012,30.44,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FR,2013,27.89,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FR,2014,23.9,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FR,2015,22.30,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,FR,2016,20.10,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,HR,2011,18.8,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,HR,2012,18.55,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,HR,2013,14.81,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,HR,2014,15.77,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,HR,2015,15.23,
